area,budget,climate,priority,design_id,actual_cost,energy_efficiency,water_efficiency,materials_efficiency,carbon_level,payback_period_years,embodied_carbon
752,49,hot,energy,0,132911,81,57,58,Medium,55,584
304,61,moderate,energy,2,79451,87,90,68,Low,69,680
804,25,cold,water,1,110309,51,75,60,Medium,1210,600
721,76,cold,materials,1,225138,68,79,94,Low,166,945
1221,45,moderate,energy,0,221135,81,74,57,Medium,57,577
734,38,hot,materials,0,122516,69,61,68,Medium,84,684
640,71,cold,materials,1,196873,65,78,91,Low,199,915
1200,73,cold,water,2,383538,71,100,71,Low,150,714
465,97,moderate,energy,2,193153,100,100,83,Low,83,830
373,39,moderate,water,0,59013,73,88,56,Medium,68,563
391,48,cold,water,0,85170,64,86,56,Medium,151,567
1244,99,cold,energy,1,468935,88,85,97,Low,97,978
1007,59,moderate,materials,0,211465,83,81,75,Low,63,756
4999,60,cold,energy,1,1454017,30,72,80,Medium,999,808
1527,65,moderate,materials,1,413163,72,86,99,Low,117,991
314,51,moderate,materials,0,60604,73,73,67,Medium,81,677
569,80,hot,materials,1,196881,76,67,96,Low,132,964
998,29,hot,energy,2,148902,70,64,55,Medium,74,557
1498,79,cold,materials,0,451156,74,80,89,Low,124,899
2200,58,hot,water,1,597062,56,84,79,Medium,428,793
496,35,moderate,materials,1,79592,68,75,83,Low,88,839
1599,53,cold,materials,1,387864,59,71,95,Low,263,953
2119,45,hot,materials,2,455101,53,71,76,Medium,604,767
1341,25,cold,materials,2,208410,49,68,72,Medium,999,723
1086,40,moderate,materials,1,181210,63,79,87,Low,123,878
316,83,hot,energy,0,89805,89,76,71,Low,71,711
1164,32,moderate,water,1,165266,57,83,68,Medium,194,683
4256,47,cold,water,2,1115565,27,95,64,Medium,999,648
327,42,moderate,water,2,63479,70,100,58,Low,95,580
1850,20,moderate,energy,0,173756,69,71,51,Medium,49,519
1600,63,cold,materials,0,417737,69,75,83,Low,135,838
803,32,moderate,water,1,126053,62,93,70,Low,126,707
721,45,cold,water,0,136982,73,89,56,Medium,79,569
377,65,cold,energy,2,126718,82,81,67,Low,104,678
1117,49,moderate,energy,1,226136,78,73,75,Low,70,750
723,79,moderate,water,2,259373,80,100,76,Low,117,764
1266,34,hot,water,0,178384,60,69,55,Medium,133,553
350,81,moderate,materials,1,97315,76,91,100,Low,103,1000
529,32,moderate,energy,0,75167,85,71,46,Medium,40,467
1051,52,moderate,materials,1,247831,68,80,93,Low,127,931
359,73,cold,materials,0,103040,76,78,84,Low,109,842
2099,85,cold,materials,2,882010,68,94,94,Low,226,948
1116,95,moderate,water,1,418644,83,100,95,Low,110,956
2100,66,moderate,materials,0,486389,69,81,81,Low,117,814
1109,35,cold,water,2,223742,49,95,61,Medium,999,619
873,77,moderate,materials,0,242641,87,85,88,Low,74,885
2376,71,cold,materials,1,708683,59,73,100,Low,309,1000
1671,24,hot,water,1,209005,48,61,65,Medium,999,656
936,37,hot,energy,2,174453,69,57,56,Medium,96,561
2265,65,moderate,energy,0,535226,79,81,70,Low,80,705
587,64,cold,energy,2,167598,83,84,63,Low,85,633
2485,29,hot,materials,1,324562,42,51,80,Medium,999,808
1405,48,moderate,energy,0,250070,79,76,64,Medium,61,640
428,30,cold,water,1,69175,56,72,65,Medium,245,655
549,26,hot,water,1,76824,51,69,65,Medium,1047,657
2029,65,hot,water,2,581615,63,90,73,Low,217,735
771,72,hot,materials,1,229637,71,61,95,Low,135,952
901,43,moderate,energy,1,160114,76,75,69,Medium,68,696
1060,96,cold,water,2,438859,82,100,85,Low,128,857
446,78,hot,energy,0,134305,95,69,72,Low,66,724
388,44,moderate,materials,0,69613,78,71,71,Medium,63,710
1079,40,cold,energy,1,191481,59,65,71,Medium,179,710
4216,22,moderate,water,1,503455,28,82,66,Medium,999,667
1313,65,moderate,water,1,369111,70,99,83,Low,134,838
852,76,cold,materials,0,232696,69,76,85,Low,140,855
1875,87,moderate,energy,2,629624,88,99,80,Low,87,806
685,26,hot,water,0,74657,63,66,50,Medium,78,507
794,82,cold,energy,1,270025,80,75,83,Low,111,838
323,67,hot,materials,1,88276,71,72,98,Low,125,982
1648,20,hot,materials,2,189521,47,57,74,Medium,999,747
1500,79,hot,water,2,550469,71,97,75,Low,172,757
4384,85,cold,materials,2,1545265,39,92,93,Low,999,930
785,63,moderate,energy,2,235922,87,92,70,Low,80,707
343,91,hot,water,1,128547,79,90,82,Low,125,826
810,47,cold,materials,0,150348,64,62,74,Medium,131,749
1830,38,moderate,materials,0,257301,57,73,78,Medium,198,785
535,85,moderate,materials,1,154684,81,90,99,Low,91,995
2427,49,cold,materials,2,597500,49,80,79,Medium,999,798
1181,45,cold,water,0,210413,65,80,59,Medium,114,594
349,22,cold,water,0,34695,59,71,45,Medium,99,458
1002,55,cold,materials,0,215309,71,76,81,Low,98,813
332,32,moderate,water,1,50059,64,86,64,Medium,102,641
1026,42,hot,water,0,185074,70,69,52,Medium,89,526
806,70,moderate,materials,2,258489,85,96,89,Low,91,891
750,87,hot,materials,2,277661,80,86,93,Low,120,938
1620,68,hot,materials,2,540193,68,74,90,Low,181,909
826,61,moderate,water,0,199089,87,97,67,Low,64,679
1422,32,moderate,water,0,199278,64,83,61,Medium,94,610
1113,46,moderate,water,0,186167,73,92,58,Medium,70,580
363,42,hot,water,2,70888,60,78,53,Medium,181,534
1479,61,moderate,energy,1,388133,75,78,79,Low,102,793
346,70,moderate,materials,2,98113,87,95,83,Low,76,835
1021,90,cold,water,0,314570,81,100,72,Low,98,724
2240,28,cold,materials,2,384205,41,76,70,Medium,999,700
533,83,cold,energy,1,176246,85,83,89,Low,93,898
2774,32,hot,water,2,429665,48,76,53,Medium,999,533
751,24,hot,materials,0,78557,64,44,63,Medium,71,639
1290,29,cold,materials,2,218237,49,71,70,Medium,999,702
4505,52,hot,water,2,1156840,35,89,67,Medium,999,678
1790,87,hot,materials,1,553822,72,71,100,Low,135,1000
1373,39,hot,energy,2,263400,65,64,62,Medium,125,625
2190,58,hot,energy,2,650325,65,78,66,Medium,191,669
1700,77,moderate,water,0,440689,76,100,78,Low,96,784
1142,80,hot,energy,0,308320,90,64,76,Low,67,767
1333,24,hot,energy,1,148566,61,52,65,Medium,96,658
1486,47,cold,materials,0,285354,60,63,77,Medium,187,777
2471,27,moderate,energy,2,325696,53,84,59,Medium,390,594
801,23,hot,materials,0,87009,68,46,69,Medium,59,693
1191,77,hot,water,1,385098,72,81,89,Low,146,899
431,59,cold,materials,0,103674,70,71,73,Medium,115,736
2246,79,moderate,energy,2,802761,89,100,77,Low,90,777
824,27,moderate,energy,1,113568,69,72,66,Medium,71,665
836,55,hot,materials,1,191045,62,59,91,Medium,176,916
1454,22,cold,water,0,166159,53,68,51,Medium,366,511
1464,81,cold,energy,1,486882,76,77,91,Low,124,919
1818,65,hot,materials,1,533701,61,64,99,Medium,266,993
1309,50,moderate,materials,2,279396,64,94,81,Low,144,816
397,80,moderate,water,2,136199,85,100,75,Low,98,756
332,84,moderate,energy,0,93389,100,86,75,Low,56,750
445,61,moderate,water,0,101012,87,95,61,Low,60,619
4318,48,hot,energy,2,963528,47,74,64,Medium,999,643
1048,71,cold,water,1,312761,69,88,83,Low,149,837
1313,33,cold,materials,0,199528,56,61,76,Medium,219,762
1092,62,hot,water,1,294253,68,80,84,Low,147,841
501,72,cold,water,1,163296,65,93,80,Low,210,802
1103,36,hot,water,1,195977,59,73,68,Medium,189,684
2001,43,moderate,energy,2,425371,68,88,63,Medium,116,634
2304,62,hot,water,2,668728,62,88,70,Medium,238,703
1223,36,moderate,materials,0,173335,66,76,69,Medium,86,693
1469,24,cold,water,1,172852,48,77,72,Medium,999,729
1436,78,cold,energy,2,468585,79,92,75,Low,110,751
2055,88,hot,water,2,756191,76,99,85,Low,138,855
354,56,hot,water,2,87783,67,84,58,Medium,138,583
1913,85,hot,water,0,624745,75,82,82,Low,128,821
1141,29,cold,water,2,177987,57,90,55,Medium,206,555
530,52,hot,materials,0,108274,71,56,73,Medium,92,730
459,48,cold,water,1,92832,58,84,67,Medium,230,673
519,65,cold,water,2,175660,62,100,72,Low,275,721
962,85,cold,energy,2,380909,86,93,78,Low,108,782
354,52,cold,materials,0,79562,68,70,79,Medium,120,795
2260,67,cold,energy,2,685609,65,86,73,Medium,196,731
372,57,moderate,materials,1,88801,76,81,89,Low,90,892
1238,45,hot,water,1,236153,60,69,76,Medium,182,761
785,22,hot,water,0,79576,61,66,50,Medium,84,504
2102,78,cold,energy,1,699374,68,77,91,Low,179,915
693,55,hot,materials,1,169315,67,65,86,Medium,141,862
1240,64,cold,materials,2,363239,69,85,76,Low,149,769
2490,71,moderate,materials,2,791375,65,97,90,Low,207,907
638,78,cold,energy,0,181325,86,83,70,Low,78,707
1783,54,hot,materials,2,458959,58,71,83,Medium,296,837
1103,59,cold,materials,1,276639,58,67,100,Low,285,1000
521,63,cold,water,1,156516,64,91,76,Low,209,764
636,58,cold,materials,2,196591,66,81,81,Low,187,818
2108,86,cold,materials,1,709816,66,77,100,Low,199,1000
1440,84,moderate,energy,2,500578,95,98,81,Low,75,811
1742,91,cold,water,1,592143,65,94,92,Low,222,922
2320,83,hot,materials,0,761763,71,67,89,Low,150,894
950,76,moderate,energy,0,268834,97,92,73,Low,59,737
653,66,moderate,materials,1,173700,78,89,88,Low,94,882
498,74,moderate,energy,0,133829,98,91,67,Low,55,678
902,22,cold,materials,1,113659,46,68,75,Medium,999,756
1169,48,cold,materials,1,240764,57,70,84,Medium,267,844
1025,64,moderate,materials,0,237633,85,81,81,Low,65,818
1015,75,cold,water,0,303191,77,90,67,Low,109,672
1094,49,moderate,materials,0,223712,70,76,75,Medium,100,756
435,84,cold,energy,1,140510,84,81,85,Low,92,852
976,42,cold,water,0,167500,64,80,58,Medium,117,586
1404,26,moderate,energy,1,172301,69,71,66,Medium,63,662
1983,42,moderate,water,0,298046,63,90,60,Medium,115,605
1848,56,cold,energy,0,458182,71,71,60,Medium,115,604
1228,45,cold,materials,1,286781,60,62,89,Medium,213,891
903,91,cold,water,2,384052,77,100,82,Low,154,820
1238,77,cold,energy,1,442953,75,82,87,Low,137,871
1193,84,moderate,materials,2,397306,85,100,92,Low,93,927
708,54,hot,water,0,154190,73,76,56,Medium,94,563
1743,30,cold,energy,2,265250,60,76,59,Medium,144,592
487,26,cold,water,1,65365,52,78,63,Medium,483,637
303,30,moderate,materials,0,39673,68,70,60,Medium,70,608
958,47,moderate,energy,2,208993,84,85,64,Low,63,640
321,65,cold,materials,0,82643,77,77,81,Low,92,814
931,33,hot,energy,2,150966,71,64,54,Medium,74,542
1393,56,hot,materials,1,350986,63,62,95,Medium,184,953
1492,34,hot,materials,2,247358,53,62,77,Medium,522,772
1106,28,hot,energy,1,168566,68,49,67,Medium,84,671
2554,57,moderate,water,1,543181,54,97,75,Low,529,750
643,66,hot,energy,2,196254,83,78,64,Low,89,640
490,36,hot,energy,1,83739,64,52,62,Medium,121,626
550,64,cold,energy,2,169348,75,80,67,Medium,122,674
2026,65,hot,materials,2,586298,63,76,89,Low,220,899
796,34,moderate,energy,2,136119,77,83,61,Medium,63,612
706,22,moderate,materials,2,92563,58,83,68,Medium,163,685
3628,87,moderate,materials,1,1283874,54,94,100,Low,826,1000
1760,84,moderate,water,1,557231,79,100,90,Low,108,908
2239,54,moderate,materials,1,542005,58,82,95,Low,280,951
432,68,moderate,materials,0,107208,80,84,80,Low,80,800
818,100,moderate,energy,1,295460,98,100,96,Low,74,967
478,63,moderate,water,1,123241,75,96,81,Low,101,814
4242,50,cold,water,0,819119,39,84,64,Medium,999,643
501,40,cold,energy,2,103065,76,82,57,Medium,77,574
496,44,hot,materials,2,117147,66,65,73,Medium,142,731
1330,38,hot,energy,0,195849,72,61,56,Medium,64,565
687,62,moderate,water,2,185105,74,100,63,Low,107,636
912,43,moderate,energy,1,185068,76,78,69,Medium,76,690
851,23,cold,materials,2,117630,53,75,68,Medium,371,685
1840,85,moderate,energy,0,528985,88,91,66,Low,73,665
1960,62,cold,energy,1,576671,64,71,82,Medium,206,828
1641,77,cold,water,2,627666,66,100,80,Low,226,804
887,62,cold,energy,0,214426,80,75,64,Medium,78,649
1048,51,hot,energy,2,263939,82,69,64,Medium,78,645
1839,99,cold,materials,1,729444,73,86,100,Low,167,1000
4699,46,cold,materials,0,869742,30,68,73,Medium,999,730
3295,43,moderate,energy,2,725525,56,88,66,Medium,359,666
470,51,moderate,materials,1,91971,73,77,89,Low,82,892
485,57,cold,water,2,134058,65,94,64,Medium,178,648
930,29,cold,water,1,130635,45,80,64,Medium,999,647
624,83,cold,water,0,199349,81,99,67,Low,102,676
1324,60,cold,energy,2,405661,70,86,76,Low,152,766
1006,43,hot,materials,0,179962,69,53,75,Medium,93,752
1548,73,hot,water,1,431479,68,83,89,Low,149,892
2481,36,cold,water,1,409973,41,81,66,Medium,999,666
674,78,hot,energy,2,233433,83,74,73,Low,102,738
695,84,cold,materials,2,285990,73,87,90,Low,175,906
643,69,cold,materials,2,190098,70,88,87,Low,146,871
4463,85,moderate,water,0,1253969,58,100,78,Low,324,789
734,57,hot,water,2,198351,68,83,68,Medium,143,687
829,46,hot,energy,2,192444,78,65,64,Medium,82,647
606,40,moderate,water,2,115020,69,100,64,Low,99,647
523,45,hot,energy,1,103527,73,56,66,Medium,83,668
1654,81,hot,materials,1,536498,71,68,100,Low,153,1000
348,33,moderate,energy,1,54628,69,73,67,Medium,79,671
1184,39,moderate,water,0,170524,75,86,53,Medium,56,533
430,71,moderate,materials,0,102604,90,86,79,Low,59,791
466,65,moderate,water,1,123996,77,100,84,Low,95,841
507,65,cold,water,0,123340,72,87,63,Medium,106,631
2499,23,moderate,energy,2,320501,55,83,62,Medium,245,625
1582,62,hot,energy,1,430757,70,62,82,Medium,133,823
706,89,hot,materials,2,284910,84,87,93,Low,116,937
531,41,hot,materials,2,111847,65,64,76,Medium,135,763
745,62,hot,materials,1,175778,73,61,86,Medium,99,867
781,61,cold,water,0,208480,71,82,57,Medium,126,576
481,29,moderate,materials,1,60572,66,79,78,Medium,78,786
930,38,cold,energy,0,143422,76,63,59,Medium,57,599
1064,93,cold,materials,1,381096,78,84,100,Low,127,1000
669,20,hot,materials,1,64363,53,45,75,Medium,316,757
1648,21,cold,water,0,169278,49,72,55,Medium,999,555
1153,58,moderate,materials,1,283530,71,82,95,Low,111,951
2150,64,moderate,materials,1,545576,59,88,100,Low,264,1000
515,84,cold,energy,2,204443,82,91,86,Low,122,863
399,38,hot,materials,2,80623,62,67,71,Medium,162,712
966,40,cold,water,2,217893,58,94,59,Medium,281,597
1166,97,cold,energy,1,481315,81,85,90,Low,131,901
597,39,hot,energy,2,123159,79,64,59,Medium,70,595
1289,63,cold,water,2,407563,63,97,70,Low,233,709
1358,29,hot,materials,1,204062,52,51,86,Medium,504,869
595,64,hot,materials,1,173627,73,68,88,Low,126,886
524,53,cold,energy,1,117800,70,70,73,Medium,109,733
2129,53,hot,energy,2,579123,65,69,69,Medium,173,697
1129,100,moderate,water,0,398778,95,100,86,Low,78,860
689,100,moderate,water,0,241548,98,100,75,Low,73,755
2279,95,hot,water,1,853206,71,92,94,Low,173,943
1322,78,cold,water,0,396101,74,92,70,Low,123,706
1036,81,moderate,energy,1,310463,93,93,86,Low,68,862
1219,23,cold,materials,0,127855,52,61,67,Medium,410,677
358,58,hot,water,1,87263,67,74,73,Medium,141,733
455,98,moderate,materials,1,147924,90,90,100,Low,79,1000
2354,75,moderate,energy,2,739473,76,99,80,Low,118,805
4421,53,moderate,materials,1,1029253,34,84,89,Medium,999,891
2264,32,cold,materials,1,334938,40,62,84,Medium,999,843
1014,58,cold,materials,2,283647,65,80,86,Low,176,864
984,62,moderate,energy,1,239813,81,85,79,Low,76,796
632,40,cold,energy,2,136530,66,76,52,Medium,133,529
1109,70,cold,energy,1,319046,72,72,79,Medium,130,796
1310,76,moderate,materials,0,351754,80,87,89,Low,87,893
1406,58,hot,energy,1,366023,78,64,76,Medium,92,764
2100,67,hot,materials,2,603230,65,75,90,Low,181,902
599,66,hot,materials,0,148959,80,59,83,Medium,82,838
1001,32,moderate,energy,1,140008,74,71,69,Medium,58,698
